title,link,abstract
Pengaruh Brand Image Terhadap Keputusan Pembelian (Survei Pada Mahasiswa Fakultas Ilmu Administrasi Bisnis Progam Studi Administrasi Bisnis Angkatan 2014 …,http://repository.ub.ac.id/165499/,"… Lokasi penelitian ini berada di Fakultas Ilmu Administrasi Bisnis Universitas Brawijaya. Jl. … 
of this research is in Faculty of Business Administration Science Universitas Brawijaya. Jl. MT. …"
[PDF][PDF] … Proyek Menggunakan Fault Tree Analysis (Fta)(Studi Kasus Pada Proyek Pembangunan Gedung Program Studi Teknik Industri Tahap II Universitas Brawijaya …,https://www.academia.edu/download/96746097/295175186.pdf,"Fault Tree Analysis (FTA) merupakan teknik analisis untuk mengidentifikasikan kegagalan 
suatu sistem. Arti kegagalan sistem dalam penelitian ini adalah keterlambatan proyek …"
Studi fenomenologi kecurangan mahasiswa dalam pelaporan pertanggungjawaban dana kegiatan mahasiswa: sebuah realita dan pengakuan,http://repository.ub.ac.id/108262/,"… Tujuan penelitian ini untuk mengetahui dan memberikan gambaran tentang kecurangan 
tersebut di Fakultas Ekonomi dan Bisnis Universitas Brawijaya (FEB UB) berdasarkan …"
"… , integritas, dan religiusitas terhadap perilaku kecurangan akademik mahasiswa (studi kasus pada mahasiswa akuntansi konsentrasi syariah universitas brawijaya)",https://jimfeb.ub.ac.id/index.php/jimfeb/article/view/2996,"This study examines the factors influencing students' academic cheating behavior using 
diamond fraud concept (pressure, opportunity, rationalization and capabilities), integrity, and …"
… Pada Loyalitas Pelanggan (Survei Pada Mahasiswa S1 Jurusan Ilmu Administrasi Bisnis Fakultas Ilmu Administrasi Universitas Brawijaya Tahun 2014/2015 P,https://www.neliti.com/publications/86696/pengaruh-citra-merek-kepercayaan-merek-dan-switching-barrier-terhadap-kepuasan-p,"Penelitian ini bertujuan untuk mengetahui pengaruh signifikan citra merek, kepercayaan 
merek, dan switching barrier terhadap kepuasan pelanggan dan loyalitas pelanggan. Jenis …"
Pemilihan Kost di Sekitar Universitas Brawijaya menggunakan Metode Analitycal Hierarchy Process (AHP) dan Simple Additive Weighting (SAW),http://j-ptiik.ub.ac.id/index.php/j-ptiik/article/view/1616,"… Universitas Brawijaya. Bagi mahasiswabiasanya memilih untuk kost disekitar Universitas 
Brawijaya, … sendiri jumlah kost di sekitar Universitas Brawijaya kurang lebih 100 rumah kost, …"
Status Pengelolaan “Green Campus” di Universitas Brawijaya,https://www.neliti.com/publications/128717/status-pengelolaan-green-campus-di-universitas-brawijaya,"… di Lingkungan Universitas Brawijaya. … Universitas Brawijaya telah memenuhi syarat dari 
status —Green Campus“, dan untuk permasalahan CO2 di lingkungan Universitas Brawijaya …"
Implementasi Metode K-Nearest Neighbor untuk Rekomendasi Keminatan Studi (Studi Kasus: Jurusan Teknik Informatika Universitas Brawijaya),http://j-ptiik.ub.ac.id/index.php/j-ptiik/article/view/1686,"Prodi Informatika Universitas Brawijaya mempunyai 5 (lima) keminatan yang akan ditempuh 
mahasiswa dalam menjalani perkuliahan. Mengingat sangat pentingnya keminatan ini …"
… Mahasiswa Berdasarkan kinerja akademik menggunakan pendekatan data mining pada program studi sistem informasi Fakultas Ilmu Komputer Universitas Brawijaya,http://j-ptiik.ub.ac.id/index.php/j-ptiik/article/view/4655,"… Hal tersebut juga dialami pada program studi Sistem Informasi Universitas Brawijaya 
dimana rata-rata mahasiswa masuk pada program studi Sistem Informasi setiap tahun kurang …"
Pengaruh Bakteri Bacillus sp. dan Pseudomonas sp. Terhadap Pertumbuhan Jamur Patogen Sclerotium rolfsii Sacc. Penyebab Penyakit Rebah Semai Pada …,http://repository.ub.ac.id/129928/,"Penyakit rebah semai (dumping off) yang disebabkan oleh jamur patogen Sclerotium rolfsii 
termasuk dalam kategori permasalahan penting pada tanaman kedelai. Penyakit rebah …"
"… Harga, Promosi, Dan Citra Merek Terhadap Keputusan Penggunaan Aplikasi Grab-Food Indonesia (Studi pada Mahasiswa Universitas Brawijaya Kota Malang yang …",http://repository.ub.ac.id/185555/,"… di Universitas Brawijaya ini menggunakan sampel sebanyak 180 sampel mahasiswa 
Universitas Brawijaya … terhadap keputusan mahasiswa Universitas Brawijaya Kota Malang untuk …"
… Pendukung Keputusan Penentuan Calon Penerima Beasiswa BBP-PPA Menggunakan Metode AHP-PROMETHEE I Studi Kasus: FILKOM Universitas Brawijaya,http://j-ptiik.ub.ac.id/index.php/j-ptiik/article/view/1693,"Beasiswa merupakan bantuan keuangan yang diberikan kepada perorangan dan ditujukan 
untuk keberlangsungan pendidikan yang ditempuh. Setiap tahunnya, Universitas Brawijaya …"
Implementasi program mahasiswa wirausaha (pmw) dalam mewujudkan mahasiswa enterpreneur (Studi pada Universitas Brawijaya Malang),https://www.neliti.com/publications/75939/implementasi-program-mahasiswa-wirausaha-pmw-dalam-mewujudkan-mahasiswa-enterpre,"… (Studi pada Universitas Brawijaya Malang). Berdasarkan hasil penelitian, dapat disimpulkan 
bahwa Implementasi PMW di Universitas Brawijaya dalam mewujudkan mahasiswa …"
[PDF][PDF] … Persepsi Kemanfaatan Dan Persepsi Kemudahan Terhadap Minat Perilaku Penggunaan Aplikasi Transportasi Online Pada Mahasiswa Universitas Brawijaya,http://repository.ub.ac.id/162989/1/Prinka%20Kurniasari.pdf,"… aplikasi transportasi online pada Mahasiswa Universitas Brawijaya. Sampel dari penelitian 
ini adalah 100 Mahasiswa Universitas Brawijaya pengguna aplikasi transportasi online …"
Pengaruh implementasi internal marketing terhadap kinerja melalui kepuasan tenaga kependidikan di fakultas ekonomi dan bisnis universitas brawijaya malang,https://jiap.ub.ac.id/index.php/jiap/article/view/549,"… Ditengah-tengah persaingan antar perguruan tinggi yang sekarang ini terjadi, terutama 
antar perguruan tinggi Negeri (PTN) yang semakin meningkat, Universitas Brawijaya …"
… Image dan Persepsi Harga Terhadap Loyalitas Konsumen (Survei pada Mahasiswa Pengguna Sepatu Merek Nike di Fakultas Ilmu Administrasi Universitas Brawijaya …,https://www.neliti.com/publications/87620/pengaruh-brand-image-dan-persepsi-harga-terhadap-loyalitas-konsumen-survei-pada,"… Lokasi penelitian ini dilakukan di Fakultas Ilmu Administrasi Universitas Brawijaya pada 
mahasiswa yang menggunakan sepatu merek Nike. Teknik pengambilan sampel …"
Pengaruh komitmen keorganisasian dan kepuasan kerja terhadap kinerja tenaga edukatif/dosen (studi di universitas brawijaya malang),https://jurnaljam.ub.ac.id/index.php/jam/article/view/138,"Abstract: The impact of organizational commitment and job satisfaction toward academic 
staffs performance (study on Brawijaya University in Malang). The aim of this research is to …"
… terhadap Citra Merek serta Dampaknya pada Keputusan Pembelian (Survei pada Mahasiswi Fakultas Ilmu Administrasi Universitas Brawijaya Angkatan 2013 dan …,https://www.neliti.com/publications/87433/pengaruh-celebrity-endorser-terhadap-citra-merek-serta-dampaknya-pada-keputusan,"Tujuan penelitian ini adalah untuk mengetahui pengaruh celebrity endorser, citra merek 
Wardah terhadap keputusan pembelian. Jenis penelitian yang digunakan adalah penelitian …"
"Pengaruh Persepsi Kegunaan, Persepsi Kemudahan, Persepsi Risiko, Kepercayaan, Inovasi Pribadi, dan Kesesuaian terhadap Sikap Penggunaan E-commerce”.",http://repository.ub.ac.id/105420/,"… di Jurusan Akuntansi Universitas Brawijaya Malang. Penelitian ini memperoleh respon 
sebanyak 152 orang mahasiswa Jurusan Akuntansi Universitas Brawijaya yang minimal …"
Minat individu terhadap penggunaan internet banking: Pendekatan modified theory of planned behavior,http://repository.ub.ac.id/106896/,"… Responden dalam penelitian ini adalah karyawan yang menduduki posisi penting di 
Universitas Brawijaya Malang. Penelitian ini memperoleh respon sebanyak 64 karyawan yang …"
[PDF][PDF] Kajian Literasi Media Digital Library Universitas Brawijaya (Studi Kasus pada Mahasiswa Tuna Netra Universitas Brawijaya),https://scholar.archive.org/work/lzozuvzn3vbl7gydvvnt4nr5lm/access/wayback/http://journal.iaincurup.ac.id/index.php/TI/article/download/617/575,"… Universitas Brawijaya Blind Students. This study aims to analyze the media literacy of the blind 
for the Digital Library of Universitas Brawijaya … Library of Universitas Brawijaya. This study …"
Analisis Usability Pada Sistem Informasi FILKOM Apps Fakultas Ilmu Komputer Universitas Brawijaya,http://j-ptiik.ub.ac.id/index.php/j-ptiik/article/view/2867,"Fakultas Ilmu Komputer Universitas Brawijaya membuat sistem informasi berbasis website 
untuk mempermudah pekerjaan yang dilakukan stakeholder, sistem informasi yang dibuat …"
Pengaruh Kompetensi Pustakawan Terhadap Prestasi Kerja (Studi Pada Perpustakaan Universitas Brawijaya),https://www.neliti.com/publications/81659/pengaruh-kompetensi-pustakawan-terhadap-prestasi-kerja-studi-pada-perpustakaan-u,"… yang aktif bekerja di Perpustakaan Universitas Brawijaya yang berjumlah 18 orang. Skala 
… kepada pustakawan di Perpustakaan Universitas Brawijaya kemudian dianalisis dengan …"
Keanekaragaman jamur endofit daun kangkung darat (Ipomoea reptans Poir.) pada lahan pertanian organik dan konvensional,http://repository.ub.ac.id/129469/,"… Lahan Budidaya Kangkung Di Kecamatan Cemorokandang Dan Laboratorium Penyakit 
Tumbuhan Jurusan Hama Dan Penyakit Tumbuhan Fakultas Pertanian Universitas Brawijaya, …"
Evaluasi Kepuasan Pengguna Pada Website Beasiswa Universitas Brawijaya Menggunakan Metode End-User Computing Satisfaction (EUCS),https://j-ptiik.ub.ac.id/index.php/j-ptiik/article/view/9255,"… website Beasiswa Universitas Brawijaya sehingga nantinya penulis dapat memberikan 
hasil dari penelitian ini dan pihak pengembang website Beasiswa Universitas Brawijaya dapat …"
… Terhadap Minat Menabung Di Bank Umum Syariah (Studi Pada Mahasiswa S1 Program Studi Ekonomi Islam Fakultas Ekonomi Dan Bisnis Universitas Brawijaya …,https://jimfeb.ub.ac.id/index.php/jimfeb/article/view/3124,"Penelitian ini bertujuan untuk mengetahui pengaruh religiusitas, pengetahuan, dan jumlah 
uang saku terhadap minat menabung mahasiswa di bank umum syariah. Penelitian ini …"
